employee_id,employee_code,full_name,date_of_birth,gender,place_of_birth,ethnicity,religion,marital_status,phone_number,personal_email,company_email,password_hash,permanent_address,current_address,nationality_id,avatar_url,bank_account,bank_id,bank_branch,emergency_contact_name,emergency_contact_phone,emergency_contact_relation,status,hire_date,seniority_start_date,base_leave_days,last_seniority_calc,resignation_date,created_at,updated_at,created_by,updated_by
58,NV0058,"V?? Thu H??",1994-01-19,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000058,ha.vt@gmail.com,ha.vt@company.com,,"H?? N???i","Q.Long Bi??n, H?? N???i",1,,1100000058,8,"CN HN","V?? V??n Th??nh",0911100058,B???,ĐANG_LÀM_VIỆC,2020-04-01,2020-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
59,NV0059,"????? Ho??ng Long",1992-06-22,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000059,long.dh@gmail.com,long.dh@company.com,,"H?? N???i","Q.Ba ????nh, H?? N???i",1,,1100000059,9,"CN HN","Tr???n Th??? H????ng",0911100059,V???,ĐANG_LÀM_VIỆC,2018-08-01,2018-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
60,NV0060,"B??i Th??? Thanh T??m",1996-11-30,N?,"B???c Giang",Kinh,Kh??ng,??C_TH?N,0911000060,tam.btt@gmail.com,tam.btt@company.com,,"B???c Giang","Q.T??y H???, H?? N???i",1,,1100000060,10,"CN HN","B??i V??n H???i",0911100060,B???,ĐANG_LÀM_VIỆC,2022-05-01,2022-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
61,NV0061,"Tr????ng C??ng Minh",1991-09-07,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000061,minh.tc@gmail.com,minh.tc@company.com,,"H?? N???i","Q.Hai B?? Tr??ng, H?? N???i",1,,1100000061,1,"CN HN","Ph???m Th??? Loan",0911100061,V???,ĐANG_LÀM_VIỆC,2016-11-01,2016-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
62,NV0062,"Ho??ng Th??? Kim Chi",1997-04-13,N?,"H??ng Y??n",Kinh,Kh??ng,??C_TH?N,0911000062,chi.htk@gmail.com,chi.htk@company.com,,"H??ng Y??n","Q.Nam T??? Li??m, H?? N???i",1,,1100000062,2,"CN HN","Ho??ng V??n T??",0911100062,B???,THỬ_VIỆC,2024-01-15,2024-01-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
63,NV0063,"Nguy???n Huy Ho??ng",1989-12-01,NAM,"Qu???ng Ninh",Kinh,Kh??ng,??_K?T_H?N,0911000063,hoang.nh@gmail.com,hoang.nh@company.com,,"Qu???ng Ninh","Q.B???c T??? Li??m, H?? N???i",1,,1100000063,3,"CN HN","??inh Th??? H???nh",0911100063,V???,ĐANG_LÀM_VIỆC,2014-07-01,2014-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
64,NV0064,"Tr???n Th??? Kim Anh",1993-02-08,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000064,anh.ttk@gmail.com,anh.ttk@company.com,,TP.HCM,"Q.1, TP.HCM",1,,1100000064,4,"CN HCM","Tr???n V??n B??nh",0911100064,B???,ĐANG_LÀM_VIỆC,2018-03-01,2018-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
65,NV0065,"L?? Minh Kh??i",1991-07-19,NAM,TP.HCM,Kinh,Kh??ng,??_K?T_H?N,0911000065,khoi.lm@gmail.com,khoi.lm@company.com,,TP.HCM,"Q.3, TP.HCM",1,,1100000065,5,"CN HCM","Nguy???n Th??? Trang",0911100065,V???,ĐANG_LÀM_VIỆC,2016-05-01,2016-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
66,NV0066,"Ph???m Th??y Linh",1995-11-25,N?,"?????ng Nai",Kinh,Kh??ng,??C_TH?N,0911000066,linh.pt@gmail.com,linh.pt@company.com,,"?????ng Nai","Q.B??nh Th???nh, TP.HCM",1,,1100000066,6,"CN HCM","Ph???m V??n Huy",0911100066,B???,ĐANG_LÀM_VIỆC,2020-08-01,2020-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
67,NV0067,"Nguy???n T???n Ph??t",1990-04-16,NAM,"B??nh D????ng",Kinh,Kh??ng,??_K?T_H?N,0911000067,phat.nt@gmail.com,phat.nt@company.com,,"B??nh D????ng","Q.T??n B??nh, TP.HCM",1,,1100000067,7,"CN HCM","L?? Th??? Kim",0911100067,V???,ĐANG_LÀM_VIỆC,2017-01-01,2017-01-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
68,NV0068,"?????ng Th??? B??ch Huy???n",1994-06-03,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000068,huyen.dtb@gmail.com,huyen.dtb@company.com,,TP.HCM,"Q.G?? V???p, TP.HCM",1,,1100000068,8,"CN HCM","?????ng V??n Phong",0911100068,B???,ĐANG_LÀM_VIỆC,2019-11-01,2019-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
69,NV0069,"V?? Tu???n Ki???t",1992-09-12,NAM,"Long An",Kinh,Kh??ng,??_K?T_H?N,0911000069,kiet.vt@gmail.com,kiet.vt@company.com,,"Long An","Q.7, TP.HCM",1,,1100000069,9,"CN HCM","Tr???n Th??? Ng??n",0911100069,V???,ĐANG_LÀM_VIỆC,2015-12-01,2015-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
70,NV0070,"Hu???nh Th??? Thanh Th???o",1997-01-28,N?,"Ti???n Giang",Kinh,Kh??ng,??C_TH?N,0911000070,thao.htt@gmail.com,thao.htt@company.com,,"Ti???n Giang","Q.Ph?? Nhu???n, TP.HCM",1,,1100000070,10,"CN HCM","Hu???nh V??n Minh",0911100070,B???,ĐANG_LÀM_VIỆC,2022-02-14,2022-02-14,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
71,NV0071,"Cao V??n S??n",1989-05-06,NAM,"B?? R???a",Kinh,Kh??ng,??_K?T_H?N,0911000071,son.cv@gmail.com,son.cv@company.com,,"B?? R???a","Q.2, TP.HCM",1,,1100000071,1,"CN HCM","Nguy???n Th??? Li??n",0911100071,V???,ĐANG_LÀM_VIỆC,2013-06-01,2013-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
72,NV0072,"L?? Th??? Ng???c H??n",1996-10-14,N?,"???? L???t",Kinh,Kh??ng,??C_TH?N,0911000072,han.ltn@gmail.com,han.ltn@company.com,,"L??m ?????ng","Q.Th??? ?????c, TP.HCM",1,,1100000072,2,"CN HCM","L?? V??n H??ng",0911100072,B???,ĐANG_LÀM_VIỆC,2023-04-01,2023-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
73,NV0073,"Phan ?????c Tr??",1993-03-21,NAM,"C???n Th??",Kinh,Kh??ng,??C_TH?N,0911000073,tri.pd@gmail.com,tri.pd@company.com,,"C???n Th??","Q.10, TP.HCM",1,,1100000073,3,"CN HCM","Phan Th??? H??",0911100073,M???,ĐÃ_NGHỈ_VIỆC,2018-01-01,2018-01-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
74,NV0074,"Tr???n Th??? Thanh V??n",1992-07-10,N?,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000074,van.ttt@gmail.com,van.ttt@company.com,,"H?? N???i","Q.?????ng ??a, H?? N???i",1,,1100000074,4,"CN HN","Nguy???n V??n H??ng",0911100074,Ch???ng,ĐANG_LÀM_VIỆC,2017-04-01,2017-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
75,NV0075,"Nguy???n V??n Th???ng",1990-01-05,NAM,"H???i Ph??ng",Kinh,Kh??ng,??_K?T_H?N,0911000075,thang.nv@gmail.com,thang.nv@company.com,,"H???i Ph??ng","Q.Thanh Xu??n, H?? N???i",1,,1100000075,5,"CN HN","Tr???n Th??? H???ng",0911100075,V???,ĐANG_LÀM_VIỆC,2015-08-01,2015-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
76,NV0076,"Ph???m Th??? H???i Y???n",1994-11-18,N?,"Nam ?????nh",Kinh,"Ph???t gi??o",??C_TH?N,0911000076,yen.pth@gmail.com,yen.pth@company.com,,"Nam ?????nh","Q.Ba ????nh, H?? N???i",1,,1100000076,6,"CN HN","Ph???m V??n Long",0911100076,B???,ĐANG_LÀM_VIỆC,2019-12-01,2019-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
77,NV0077,"L?? Anh Tu???n",1991-06-22,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000077,tuan.la@gmail.com,tuan.la@company.com,,"H?? N???i","Q.Ho??ng Mai, H?? N???i",1,,1100000077,7,"CN HN","Nguy???n Th??? Ph????ng",0911100077,V???,ĐANG_LÀM_VIỆC,2016-10-01,2016-10-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
78,NV0078,"????? Th??? Huy???n Trang",1996-02-07,N?,"Th??i B??nh",Kinh,Kh??ng,??C_TH?N,0911000078,trang.dth@gmail.com,trang.dth@company.com,,"Th??i B??nh","Q.Long Bi??n, H?? N???i",1,,1100000078,8,"CN HN","????? V??n B??nh",0911100078,B???,ĐANG_LÀM_VIỆC,2021-07-01,2021-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
79,NV0079,"Ho??ng Qu???c B???o",1989-08-31,NAM,"Thanh H??a",Kinh,Kh??ng,??_K?T_H?N,0911000079,bao.hq@gmail.com,bao.hq@company.com,,"Thanh H??a","Q.T??y H???, H?? N???i",1,,1100000079,9,"CN HN","L?? Th??? Duy??n",0911100079,V???,ĐANG_LÀM_VIỆC,2014-03-01,2014-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
80,NV0080,"Mai Th??? Nh?? Qu???nh",1995-04-19,N?,"V??nh Ph??c",Kinh,Kh??ng,??C_TH?N,0911000080,quynh.mtn@gmail.com,quynh.mtn@company.com,,"V??nh Ph??c","Q.Hai B?? Tr??ng, H?? N???i",1,,1100000080,10,"CN HN","Mai V??n T??",0911100080,B???,ĐANG_LÀM_VIỆC,2020-10-01,2020-10-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
81,NV0081,"Tr???nh ????nh Phong",1988-12-15,NAM,"Ph?? Th???",Kinh,Kh??ng,??_K?T_H?N,0911000081,phong.td@gmail.com,phong.td@company.com,,"Ph?? Th???","Q.B???c T??? Li??m, H?? N???i",1,,1100000081,1,"CN HN","Nguy???n Th??? Thu",0911100081,V???,ĐANG_LÀM_VIỆC,2013-01-15,2013-01-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
82,NV0082,"Nguy???n Th??? C???m T??",1997-09-26,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000082,tu.ntc@gmail.com,tu.ntc@company.com,,"H?? N???i","Q.Nam T??? Li??m, H?? N???i",1,,1100000082,2,"CN HN","Nguy???n V??n ?????c",0911100082,B???,ĐANG_LÀM_VIỆC,2023-01-09,2023-01-09,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
83,NV0083,"B??i Trung Ki??n",1993-03-03,NAM,"B???c Ninh",Kinh,Kh??ng,??_K?T_H?N,0911000083,kien.bt@gmail.com,kien.bt@company.com,,"B???c Ninh","Q.C???u Gi???y, H?? N???i",1,,1100000083,3,"CN HN","Tr???n Th??? H??",0911100083,V???,ĐANG_LÀM_VIỆC,2018-06-01,2018-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
84,NV0084,"Ph???m Quang Trung",1987-05-14,NAM,TP.HCM,Kinh,Kh??ng,??_K?T_H?N,0911000084,trung.pq@gmail.com,trung.pq@company.com,,TP.HCM,"Q.B??nh T??n, TP.HCM",1,,1100000084,4,"CN HCM","L?? Th??? Ph????ng",0911100084,V???,ĐANG_LÀM_VIỆC,2012-03-01,2012-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
85,NV0085,"L?? Th??? Ho??i Thu",1993-10-20,N?,"?????ng Nai",Kinh,Kh??ng,??C_TH?N,0911000085,thu.lth@gmail.com,thu.lth@company.com,,"?????ng Nai","Q.12, TP.HCM",1,,1100000085,5,"CN HCM","L?? V??n Quang",0911100085,B???,ĐANG_LÀM_VIỆC,2019-06-15,2019-06-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
86,NV0086,"Nguy???n V??n H??a",1990-02-28,NAM,"B??nh D????ng",Kinh,Kh??ng,??_K?T_H?N,0911000086,hoa.nv@gmail.com,hoa.nv@company.com,,"B??nh D????ng","Q.T??n Ph??, TP.HCM",1,,1100000086,6,"CN HCM","Ph???m Th??? Lan",0911100086,V???,ĐANG_LÀM_VIỆC,2016-12-01,2016-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
87,NV0087,"Tr???n ?????c T??n",1988-07-11,NAM,TP.HCM,Kinh,Kh??ng,??_K?T_H?N,0911000087,tin.td@gmail.com,tin.td@company.com,,TP.HCM,"Q.8, TP.HCM",1,,1100000087,7,"CN HCM","Nguy???n Th??? H???ng",0911100087,V???,ĐANG_LÀM_VIỆC,2014-09-01,2014-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
88,NV0088,"?????ng Th??? M??? Linh",1995-12-05,N?,"Long An",Kinh,Kh??ng,??C_TH?N,0911000088,linh.dtm@gmail.com,linh.dtm@company.com,,"Long An","Q.B??nh Th???nh, TP.HCM",1,,1100000088,8,"CN HCM","?????ng V??n S??n",0911100088,B???,ĐANG_LÀM_VIỆC,2021-02-01,2021-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
89,NV0089,"Cao B?? Qu???c",1991-04-17,NAM,"Ti???n Giang",Kinh,Kh??ng,??_K?T_H?N,0911000089,quoc.cb@gmail.com,quoc.cb@company.com,,"Ti???n Giang","Q.Th??? ?????c, TP.HCM",1,,1100000089,9,"CN HCM","Tr???n Th??? Huy???n",0911100089,V???,ĐANG_LÀM_VIỆC,2017-08-01,2017-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
90,NV0090,"Hu???nh Th??? ??an Thanh",1994-06-29,N?,"B?? R???a",Kinh,Kh??ng,??C_TH?N,0911000090,thanh.htdt@gmail.com,thanh.htdt@company.com,,"B?? R???a","Q.9, TP.HCM",1,,1100000090,10,"CN HCM","Hu???nh V??n Ph??",0911100090,B???,ĐANG_LÀM_VIỆC,2020-05-01,2020-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
91,NV0091,"L?? C??ng Tr??nh",1989-09-03,NAM,"C???n Th??",Kinh,Kh??ng,??_K?T_H?N,0911000091,trinh.lc@gmail.com,trinh.lc@company.com,,"C???n Th??","Q.6, TP.HCM",1,,1100000091,1,"CN HCM","Ph???m Th??? Ng???c",0911100091,V???,ĐANG_LÀM_VIỆC,2015-04-01,2015-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
92,NV0092,"Phan Th??? B???o Tr??n",1996-01-11,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000092,tran.ptb@gmail.com,tran.ptb@company.com,,TP.HCM,"Q.G?? V???p, TP.HCM",1,,1100000092,2,"CN HCM","Phan V??n ?????t",0911100092,B???,NGHỈ_THAI_SẢN,2019-07-01,2019-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
93,NV0093,"Tr????ng Minh Qu??n",1992-08-22,NAM,"?????ng Nai",Kinh,Kh??ng,??_K?T_H?N,0911000093,quan.tm@gmail.com,quan.tm@company.com,,"?????ng Nai","Q.T??n B??nh, TP.HCM",1,,1100000093,3,"CN HCM","L?? Th??? Kim Ng??n",0911100093,V???,ĐANG_LÀM_VIỆC,2018-01-15,2018-01-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
94,NV0094,"L?? Thanh S??n",1986-08-15,NAM,"H???i Ph??ng",Kinh,Kh??ng,??_K?T_H?N,0911000094,son.lt@gmail.com,son.lt@company.com,,"H???i Ph??ng","Q.Ng?? Quy???n, H???i Ph??ng",1,,1100000094,4,"CN HP","Nguy???n Th??? Oanh",0911100094,V???,ĐANG_LÀM_VIỆC,2010-06-01,2010-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
95,NV0095,"Nguy???n Th??? H?? Ph????ng",1993-03-28,N?,"H???i D????ng",Kinh,Kh??ng,??C_TH?N,0911000095,phuong.nth@gmail.com,phuong.nth@company.com,,"H???i D????ng","Q.L?? Ch??n, H???i Ph??ng",1,,1100000095,5,"CN HP","Nguy???n V??n T??m",0911100095,B???,ĐANG_LÀM_VIỆC,2018-09-01,2018-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
96,NV0096,"Tr???n Thanh Hi???u",1991-05-09,NAM,"Qu???ng Ninh",Kinh,Kh??ng,??_K?T_H?N,0911000096,hieu.tt@gmail.com,hieu.tt@company.com,,"Qu???ng Ninh","Q.H???ng B??ng, H???i Ph??ng",1,,1100000096,6,"CN HP","Ph???m Th??? Dung",0911100096,V???,ĐANG_LÀM_VIỆC,2016-02-01,2016-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
97,NV0097,"Ph???m V??n Duy",1989-10-14,NAM,"H???i Ph??ng",Kinh,Kh??ng,??_K?T_H?N,0911000097,duy.pv@gmail.com,duy.pv@company.com,,"H???i Ph??ng","Q.An D????ng, H???i Ph??ng",1,,1100000097,7,"CN HP","L?? Th??? H???nh",0911100097,V???,ĐANG_LÀM_VIỆC,2013-07-01,2013-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
98,NV0098,"L?? Th??? ??nh Nguy???t",1995-12-19,N?,"Th??i B??nh",Kinh,Kh??ng,??C_TH?N,0911000098,nguyet.lta@gmail.com,nguyet.lta@company.com,,"Th??i B??nh","Q.Ki???n An, H???i Ph??ng",1,,1100000098,8,"CN HP","L?? V??n Th???ng",0911100098,B???,ĐANG_LÀM_VIỆC,2020-11-01,2020-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
99,NV0099,"????? B?? C?????ng",1988-01-25,NAM,"Nam ?????nh",Kinh,Kh??ng,??_K?T_H?N,0911000099,cuong.db@gmail.com,cuong.db@company.com,,"Nam ?????nh","Q.????? S??n, H???i Ph??ng",1,,1100000099,9,"CN HP","Tr???n Th??? Xu??n",0911100099,V???,ĐANG_LÀM_VIỆC,2015-03-01,2015-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
100,NV0100,"Nguy???n Th??? Y???n",1994-07-06,N?,"H?? Nam",Kinh,"Ph???t gi??o",??C_TH?N,0911000100,yen.nt@gmail.com,yen.nt@company.com,,"H?? Nam","Q.Ng?? Quy???n, H???i Ph??ng",1,,1100000100,10,"CN HP","Nguy???n V??n Quang",0911100100,B???,ĐANG_LÀM_VIỆC,2021-08-01,2021-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
101,NV0101,"Ho??ng Minh Tr??",1991-11-11,NAM,"Ninh B??nh",Kinh,Kh??ng,??_K?T_H?N,0911000101,tri.hm@gmail.com,tri.hm@company.com,,"Ninh B??nh","Q.H???i An, H???i Ph??ng",1,,1100000101,1,"CN HP","Ph???m Th??? Hoa",0911100101,V???,ĐANG_LÀM_VIỆC,2017-06-01,2017-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
102,NV0102,"V?? Th??? B??ch Li??n",1996-04-23,N?,"H???i Ph??ng",Kinh,Kh??ng,??C_TH?N,0911000102,lien.vtb@gmail.com,lien.vtb@company.com,,"H???i Ph??ng","Q.L?? Ch??n, H???i Ph??ng",1,,1100000102,2,"CN HP","V?? V??n ????ng",0911100102,B???,ĐANG_LÀM_VIỆC,2022-12-01,2022-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
103,NV0103,"B??i Quang H???i",1990-09-30,NAM,"H??ng Y??n",Kinh,Kh??ng,??_K?T_H?N,0911000103,hai.bq@gmail.com,hai.bq@company.com,,"H??ng Y??n","Q.H???i Ch??u, ???? N???ng",1,,1100000103,3,"CN ??N","Nguy???n Th??? Tuy???t",0911100103,V???,ĐANG_LÀM_VIỆC,2014-11-01,2014-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
104,NV0104,"Tr???n Ng???c Ph??t",1993-06-17,NAM,"B???c Giang",Kinh,Kh??ng,??C_TH?N,0911000104,phat.tn@gmail.com,phat.tn@company.com,,"B???c Giang","Q.S??n Tr??, ???? N???ng",1,,1100000104,4,"CN ??N","Tr???n Th??? Mai",0911100104,M???,ĐANG_LÀM_VIỆC,2019-05-01,2019-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
105,NV0105,"V??n ?????c Hi???p",1985-03-07,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000105,hiep.vd@gmail.com,hiep.vd@company.com,,"H?? N???i","Q.?????ng ??a, H?? N???i",1,,1100000105,5,"CN HN","Tr???n Th??? Th???y",0911100105,V???,ĐANG_LÀM_VIỆC,2010-09-01,2010-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
106,NV0106,"Nguy???n Th??? Thu Th???y",1992-08-19,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000106,thuy.ntth@gmail.com,thuy.ntth@company.com,,"H?? N???i","Q.C???u Gi???y, H?? N???i",1,,1100000106,6,"CN HN","Nguy???n V??n T??ng",0911100106,B???,ĐANG_LÀM_VIỆC,2017-05-01,2017-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
107,NV0107,"L?? Qu???c Anh",1990-01-14,NAM,"Nam ?????nh",Kinh,Kh??ng,??_K?T_H?N,0911000107,anh.lq@gmail.com,anh.lq@company.com,,"Nam ?????nh","Q.Thanh Xu??n, H?? N???i",1,,1100000107,7,"CN HN","Ph???m Th??? V??n",0911100107,V???,ĐANG_LÀM_VIỆC,2015-11-01,2015-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
108,NV0108,"Tr???n Th??? Tuy???t Mai",1994-05-23,N?,"Th??i B??nh",Kinh,Kh??ng,??C_TH?N,0911000108,mai.ttt@gmail.com,mai.ttt@company.com,,"Th??i B??nh","Q.Ba ????nh, H?? N???i",1,,1100000108,8,"CN HN","Tr???n V??n S??n",0911100108,B???,ĐANG_LÀM_VIỆC,2020-03-01,2020-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
109,NV0109,"Ph???m H???ng Qu??n",1991-09-06,NAM,"Thanh H??a",Kinh,Kh??ng,??_K?T_H?N,0911000109,quan.ph@gmail.com,quan.ph@company.com,,"Thanh H??a","Q.Ho??ng Mai, H?? N???i",1,,1100000109,9,"CN HN","L?? Th??? H??",0911100109,V???,ĐANG_LÀM_VIỆC,2018-07-01,2018-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
110,NV0110,"????? Th??? H???nh Nguy??n",1996-12-01,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000110,nguyen.dth@gmail.com,nguyen.dth@company.com,,"H?? N???i","Q.Long Bi??n, H?? N???i",1,,1100000110,10,"CN HN","????? V??n Trung",0911100110,B???,ĐANG_LÀM_VIỆC,2022-06-01,2022-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
111,NV0111,"Ho??ng Tu???n V??",1989-04-15,NAM,"Ngh??? An",Kinh,Kh??ng,??_K?T_H?N,0911000111,vu.ht@gmail.com,vu.ht@company.com,,"Ngh??? An","Q.T??y H???, H?? N???i",1,,1100000111,1,"CN HN","Nguy???n Th??? Lan",0911100111,V???,ĐANG_LÀM_VIỆC,2016-01-01,2016-01-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
112,NV0112,"Mai Th??? Anh",1993-07-28,NAM,"H?? T??nh",Kinh,Kh??ng,??C_TH?N,0911000112,anh.mt@gmail.com,anh.mt@company.com,,"H?? T??nh","Q.Hai B?? Tr??ng, H?? N???i",1,,1100000112,2,"CN HN","Mai V??n Th??nh",0911100112,B???,ĐANG_LÀM_VIỆC,2021-04-01,2021-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
113,NV0113,"Tr???nh Th??? Ph????ng Anh",1997-10-09,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000113,anh.ttp@gmail.com,anh.ttp@company.com,,"H?? N???i","Q.Nam T??? Li??m, H?? N???i",1,,1100000113,3,"CN HN","Tr???nh V??n ?????i",0911100113,B???,THỬ_VIỆC,2024-03-01,2024-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
114,NV0114,"Nguy???n ?????c C?????ng",1986-06-12,NAM,"???? N???ng",Kinh,Kh??ng,??_K?T_H?N,0911000114,cuong.nd@gmail.com,cuong.nd@company.com,,"???? N???ng","Q.H???i Ch??u, ???? N???ng",1,,1100000114,4,"CN ??N","L?? Th??? Ph????ng",0911100114,V???,ĐANG_LÀM_VIỆC,2011-08-01,2011-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
115,NV0115,"Tr???n Th??? H???ng Nhung",1992-02-17,N?,"Qu???ng Nam",Kinh,Kh??ng,??C_TH?N,0911000115,nhung.tth@gmail.com,nhung.tth@company.com,,"Qu???ng Nam","Q.S??n Tr??, ???? N???ng",1,,1100000115,5,"CN ??N","Tr???n V??n Phong",0911100115,B???,ĐANG_LÀM_VIỆC,2017-09-01,2017-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
116,NV0116,"L?? Ho??ng B??ch",1990-11-04,NAM,Hu???,Kinh,"Ph???t gi??o",??_K?T_H?N,0911000116,bach.lh@gmail.com,bach.lh@company.com,,Hu???,"Q.Thanh Kh??, ???? N???ng",1,,1100000116,6,"CN ??N","Nguy???n Th??? Th???o",0911100116,V???,ĐANG_LÀM_VIỆC,2015-05-01,2015-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
117,NV0117,"Ph???m Th??? Di???m Qu???nh",1995-07-21,N?,"???? N???ng",Kinh,Kh??ng,??C_TH?N,0911000117,quynh.ptd@gmail.com,quynh.ptd@company.com,,"???? N???ng","Q.Ng?? H??nh S??n, ???? N???ng",1,,1100000117,7,"CN ??N","Ph???m V??n H???i",0911100117,B???,ĐANG_LÀM_VIỆC,2020-07-01,2020-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
118,NV0118,"?????ng Qu???c To??n",1991-12-28,NAM,"Qu???ng Ng??i",Kinh,Kh??ng,??_K?T_H?N,0911000118,toan.dq@gmail.com,toan.dq@company.com,,"Qu???ng Ng??i","Q.Li??n Chi???u, ???? N???ng",1,,1100000118,8,"CN ??N","Tr???n Th??? H???ng",0911100118,V???,ĐANG_LÀM_VIỆC,2016-06-01,2016-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
